Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.9260867869853973,0.560134454265396,0.560665547778968,-1151.7909705560292
1,-2.1136814987659456,0.4491895315694009,0.41816265617301374,-1181.1143437298247
2,-2.1377469372749327,0.5010278409581665,0.4637310890599476,-1161.8668430794628
3,-2.171130108833313,0.509235453315291,0.4868887403955573,-1163.4936416767084
4,-2.1791855788230894,0.5086150059021679,0.46628494403954285,-1164.792107953058
5,-2.157144066095352,0.5573316442576224,0.48117324341560086,-1156.9246628602716
6,-2.1601343250274656,0.4783699939538767,0.4395694232233086,-1163.9090681651103
7,-2.167130846977234,0.45226945556099385,0.41584325831513214,-1167.0802110154996
8,-2.172965979576111,0.4654802349350761,0.4300713652466918,-1162.309690951149
9,-2.1753476595878602,0.4880322747819078,0.4489234749977985,-1163.7996238151268
