Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.9382838439941406,0.5686206201595025,0.5654346142004645,-1149.0615084852852
1,-2.126414901018143,0.45631388017159474,0.4293419680954108,-1177.660483113642
2,-2.1503657484054566,0.5037010911812974,0.4630382356148835,-1162.3571511607506
3,-2.1802976477146148,0.4932398583479688,0.48213483703259813,-1166.8460781528966
4,-2.1863307118415833,0.48886289695678464,0.4670182076381979,-1166.8811380854722
5,-2.162920579910278,0.5538666397950076,0.48249215897897446,-1156.6247899156378
6,-2.162848501205444,0.4831550686666859,0.45390450574787344,-1163.462298558862
7,-2.1688783168792725,0.46041588690870355,0.41858061307741345,-1166.7231718473117
8,-2.173775496482849,0.4859233293985547,0.4372201091920843,-1161.8828563984162
9,-2.175830627679825,0.4955856102265857,0.45901346722872044,-1163.2063032034475
10,-2.195705929994583,0.44109924279503643,0.4149935200920054,-1167.1361702269814
11,-2.1780215179920197,0.45535729709498174,0.4342105422070659,-1165.5945185007345
12,-2.161990783214569,0.47628336164454554,0.4524668866330178,-1162.945898626104
13,-2.1736520564556123,0.47520225721935916,0.44915541510118023,-1165.0414615674022
14,-2.1849135625362397,0.4693706273572683,0.43117496759373874,-1166.3595677875498
15,-2.1813091802597047,0.5172890334840066,0.45150569676938823,-1165.1078505766866
16,-2.1821208572387696,0.5919917657559093,0.516611968366648,-1156.0489228753659
17,-2.1792805778980253,0.45039803644948617,0.43902139354797365,-1166.2261819509422
18,-2.173004344701767,0.46197636253706853,0.44007872015670824,-1167.7298095543658
19,-2.1713896226882934,0.48828131747905446,0.4503432829496913,-1164.9210678357947
20,-2.175503098964691,0.6219517461779863,0.5356500473651313,-1158.6681220290434
21,-2.1645655941963198,0.5378444130941755,0.48624472549155945,-1157.9360582298755
22,-2.1819997847080232,0.5309108052860392,0.4989222654378559,-1160.6310178650283
23,-2.199715359210968,0.4669557769268419,0.4357048038463621,-1165.5850257184704
24,-2.1631076312065125,0.494326720985806,0.43940246555452184,-1164.9586193511172
25,-2.1675379848480225,0.511482595802263,0.4631101883926251,-1159.3443443894207
26,-2.1548530304431917,0.4732869317363891,0.4414238884099078,-1162.4994715748226
27,-2.179696751832962,0.4517238649123312,0.43294760227860657,-1165.394964251309
28,-2.172583750486374,0.5310893098782138,0.463417233164373,-1159.645716692486
29,-2.156428326368332,0.5511905104655515,0.49931642631005657,-1157.8901804095844
