Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.9304718124866485,0.5129934068465148,0.45018552126895256,-1197.8130199642922
1,-2.120078543424606,0.49832579967178187,0.4562072033893335,-1190.1079514761832
2,-2.138335212469101,0.5569818328390868,0.5271109480231944,-1150.4031380832516
3,-2.1722167360782625,0.5008406990470158,0.45275669397309537,-1184.2555063143209
4,-2.1752515733242035,0.5643840152016814,0.5261589675145455,-1153.7856324940317
5,-2.1550311625003813,0.5296929433103964,0.4844601453072726,-1162.5559075881433
6,-2.159000188112259,0.5413554832579968,0.4933455412359665,-1154.4987274817267
7,-2.1655833423137665,0.500212334091498,0.4558583612175052,-1174.6257632365455
8,-2.1723848259449006,0.5688610255376731,0.5263596306361837,-1149.4737025104498
9,-2.1755965685844423,0.526199867561109,0.46458301220139286,-1164.1990374218312
10,-2.197861270904541,0.512849451530245,0.46361138622247733,-1168.8131247794313
11,-2.1788477838039397,0.4707403621915757,0.43917476697554564,-1183.7385123272493
12,-2.163269327878952,0.5015201681398094,0.46973324368035146,-1178.5070391750098
13,-2.1774386382102966,0.5875140356433363,0.5456932908280614,-1146.7454560698366
14,-2.1857314717769625,0.5421069300089252,0.5038472946006336,-1163.4034369644528
15,-2.183404358625412,0.5780914404168945,0.5138870648578511,-1154.3444108883102
16,-2.1838839066028597,0.5654967897964471,0.5369653153320344,-1154.2420787168157
17,-2.1820778787136077,0.5542531598191921,0.5265769235303914,-1158.6929094210848
18,-2.1764427042007446,0.5054191978809778,0.47277278984394655,-1169.8712920319103
19,-2.173278205394745,0.5202854633921631,0.48075344449753893,-1164.3496775131937
20,-2.1785346806049346,0.5900735611666139,0.5465070899134046,-1156.004908289675
21,-2.166615195274353,0.5287853050413152,0.4938691717309892,-1158.2407712950494
22,-2.184326037168503,0.5242543114617223,0.4896925241521081,-1162.89207356646
23,-2.201436697244644,0.515731436961967,0.4821938119283479,-1162.8488341485968
24,-2.1652343809604644,0.5015719920536665,0.4624642339995389,-1163.239014118858
25,-2.1697848308086396,0.50230472461348,0.45328610138821435,-1162.2633180349292
26,-2.1574376714229584,0.5235582875075576,0.46036886401489113,-1159.676801976324
27,-2.182108416557312,0.4583069415253505,0.4427146393590845,-1166.33876158879
28,-2.173981647491455,0.5195117035672128,0.4599928028215209,-1161.284755783332
29,-2.158367270231247,0.5531922091382835,0.48287969252917695,-1157.9726894985447
