Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-2.093168897628784,0.5280001165942811,0.2613676060078325,-2316.9973109913435
1,-2.1310903787612916,0.5634928731745708,0.28721329002531093,-2205.1034540387163
2,-2.13525364279747,0.47096899563743067,0.24649200195302715,-2495.486522882775
3,-2.1490369272232055,0.5202470827139262,0.2565241062705212,-2310.680574437147
4,-2.1508323335647583,0.5120383595184657,0.2572793481024598,-2320.820457553537
5,-2.151837110519409,0.5804478677820853,0.30044608519865357,-2211.4249910780877
6,-2.151603797674179,0.560589675576413,0.29339026875835184,-2258.3667550085747
7,-2.162040867805481,0.5262475588072406,0.27925590196008976,-2286.17828723406
8,-2.177981575727463,0.5202191486674246,0.27826569587882216,-2251.326572481342
9,-2.183093386888504,0.48631110269041306,0.25558091680423023,-2295.331829380851
10,-2.1615725421905516,0.49044728481068,0.2564490861523986,-2283.0271468165324
11,-2.1340341925621034,0.5212510080547216,0.28438403633557036,-2273.3825852961977
12,-2.1388506627082826,0.504420866489832,0.2674076092885898,-2261.1547239118363
13,-2.1618225181102755,0.45856846513345184,0.2574064598260355,-2298.7149836392173
14,-2.147042133808136,0.4984046015876255,0.27237435149651124,-2287.960393667121
15,-2.1612519812583924,0.49360990468417526,0.2797170751019758,-2281.145848239865
16,-2.167340587377548,0.46578565113047876,0.26734664105487216,-2302.5215207612155
17,-2.1733821189403533,0.4508637692987826,0.26548442919576665,-2332.0969208753127
18,-2.1738859498500824,0.5243786496439016,0.3156377568583561,-2274.3822058918863
19,-2.1672508585453034,0.4908507496040652,0.296473897107405,-2270.253210444399
20,-2.201835972070694,0.4746412296810175,0.27594160729765677,-2269.002869268444
21,-2.14751344203949,0.48099658961727926,0.2746787740707446,-2263.7638675802655
22,-2.1562809252738955,0.5110905451754257,0.3022956179332242,-2255.5277132691394
23,-2.179857782125473,0.47639937427735835,0.2856265326526887,-2272.0909381811603
24,-2.1493045604228973,0.5284220421488326,0.3147630318209632,-2272.8012646703437
25,-2.1575776958465576,0.5768652655920561,0.3373075490177476,-2248.938209670183
26,-2.1657512509822845,0.4488180254758504,0.283492290087144,-2280.4059849329433
27,-2.183166846036911,0.4482695465454086,0.2781751415974631,-2283.7137315852124
28,-2.156530946493149,0.5310254952827898,0.30036830738521925,-2252.8123583065035
29,-2.1730409514904023,0.4517287531213261,0.26422880967959184,-2283.5724297567076
30,-2.1587687277793886,0.5230623487917918,0.321781177827105,-2259.685457441413
31,-2.1800698292255403,0.5217839410810233,0.2974387629170652,-2274.4906892782797
32,-2.170153180360794,0.4755601383585469,0.3088458712358566,-2266.9385246845895
33,-2.170897922515869,0.4869237084754326,0.29905645436270994,-2271.989403293823
34,-2.182434622049332,0.4627167924913283,0.2989936053734627,-2281.4625228971586
35,-2.154458057880402,0.4632847038019452,0.2940293144966323,-2284.1905913963333
36,-2.1497531831264496,0.4565788323082753,0.2735051946439291,-2288.7588372282917
37,-2.1653824734687803,0.49743176805511025,0.2922242446397015,-2267.3220569024124
38,-2.176474245786667,0.4965252475199424,0.3390833649053772,-2274.55800614489
39,-2.188869516849518,0.4777416659379524,0.3103863547526017,-2285.627281664104
40,-2.1828705191612245,0.4667184053788829,0.29975552082022505,-2280.1828604445013
41,-2.19244478225708,0.45910236977876234,0.29541501682048177,-2282.983821134179
42,-2.1652990317344667,0.5012444010454621,0.35707115288728986,-2247.4099871668304
43,-2.1713513040542605,0.4874748593581485,0.3267622585133361,-2275.4405730697717
44,-2.1663166177272797,0.47838342029323466,0.28971041825674687,-2278.4768544565377
45,-2.1578853476047515,0.49264751605600415,0.3335068810049049,-2271.855741429429
46,-2.1766481804847717,0.4736105848174813,0.31366311147856046,-2271.662642922104
47,-2.1791934263706207,0.4624000446944744,0.290810254116174,-2306.9365046055455
48,-2.1805492424964905,0.44895259470856286,0.2783924725430964,-2273.827057820117
49,-2.177294518947601,0.47314930869307525,0.30202663573497035,-2287.1161434788028
50,-2.1673824322223663,0.44698045102554385,0.2716948905260243,-2287.8241294531235
51,-2.143548352718353,0.45652976554833313,0.28974777309128386,-2284.442905424942
52,-2.151542981863022,0.47422902031655345,0.3038588971735947,-2248.922247442105
53,-2.1925122749805452,0.46963642016692414,0.30817759555072155,-2280.1040469543113
54,-2.1541867697238923,0.4774232178078332,0.3175115312495449,-2262.2177179930304
55,-2.1891045534610747,0.47277936475549204,0.3068643965786887,-2281.106229561725
56,-2.1432822489738466,0.47103652315853906,0.30232426507642834,-2277.5736078227224
57,-2.168176481723785,0.4557913351016799,0.2949315877087886,-2308.603618271009
58,-2.139861866235733,0.4590518455903071,0.30621970394998166,-2288.3514143470634
59,-2.1896537339687345,0.4762771931870075,0.3101347405660651,-2279.64391336029
60,-2.161642937660217,0.4744133850234646,0.31636667338715074,-2271.4502373458845
61,-2.1526659715175627,0.4706022094616259,0.31338832730112254,-2271.145432949512
62,-2.198636215925217,0.47433614131226864,0.3197540923512214,-2278.603747436685
63,-2.157362838983536,0.45655138407127793,0.3027379450119896,-2282.938477289706
64,-2.1680759203433992,0.4779532359771087,0.32556708394253214,-2279.316952091272
65,-2.182631729841232,0.48358133908531786,0.32460083310185217,-2270.225917951312
66,-2.173129371404648,0.4606795503347227,0.3103801884437949,-2312.2964633184383
67,-2.1704936814308167,0.46379869025757625,0.2865344109783133,-2287.0870872503156
68,-2.1601280069351194,0.45496667346799974,0.27548327762321084,-2277.1434292275676
69,-2.1547437155246736,0.46556412199648267,0.30814336701277667,-2279.7087704244123
70,-2.1741951417922976,0.47567114583029707,0.3166246087396146,-2268.9388091777546
71,-2.165632430315018,0.49554269779733967,0.33897910897509953,-2267.959118905291
72,-2.1471502566337586,0.48152515035804155,0.31699476640505725,-2291.431138300294
73,-2.164996763467789,0.4660108238357575,0.3041255806422685,-2304.1497656392494
74,-2.178132165670395,0.46989098434721777,0.3079964761448802,-2274.699868326564
75,-2.1658984076976777,0.47651839760593073,0.31472273753739355,-2280.5318024457215
76,-2.160558980703354,0.48505649964535913,0.3225560136057464,-2299.9395506834044
77,-2.1782769918441773,0.485504658913147,0.32273494940364444,-2254.397766970535
78,-2.178946806192398,0.4792384450209385,0.33038531201233134,-2273.901031500922
79,-2.166749646663666,0.47586352639403035,0.30783412838256186,-2288.1333524441993
