Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.818580733537674,0.5957966101694916,0.5989583085886052,-167.47726752780986
1,-1.9527489829063416,0.6984406779661018,0.7236161707888757,-163.08775356264908
2,-1.9685517299175261,0.7472542372881356,0.7884402516554512,-159.68141349967533
3,-1.9819669806957245,0.7583728813559323,0.7987834543943828,-157.96681736176586
4,-1.9752136766910553,0.8654237288135593,0.8941245832936386,-153.76304633521914
5,-1.9808456051349639,0.8926101694915255,0.919556411023859,-150.22565008926117
6,-1.9704883551597596,0.8981016949152543,0.9266985751714978,-148.73320677047525
7,-1.9889441335201263,0.9048813559322033,0.9316495803628885,-148.52232767287333
8,-1.9962232911586761,0.9404745762711865,0.9543497948482556,-145.35862729508534
9,-1.97098024725914,0.9252881355932204,0.9467658983422105,-148.08172053475255
10,-1.9994945454597473,0.9407457627118645,0.9588494376824485,-149.82578885527903
11,-1.9966237950325012,0.9656949152542372,0.9783575460927775,-145.9987522436681
12,-1.9686260402202607,0.9686779661016949,0.9773311240059293,-148.39193915082757
13,-1.9897696578502655,0.9677966101694915,0.9774800193267996,-144.00191464824047
14,-1.9873449945449828,0.9724745762711864,0.9806948391516921,-143.97440072324554
15,-1.9886975681781769,0.9532203389830508,0.9659357136470018,-146.71151072589964
16,-1.982740465402603,0.9242033898305084,0.9464521789312409,-150.19581771123552
17,-1.9835460782051086,0.9588474576271186,0.9719628118439358,-147.60262788557944
18,-1.97911080121994,0.9703728813559322,0.9795251196242261,-142.49522035681298
19,-2.000061095952988,0.9793220338983051,0.9855818074207643,-144.95313210554855
20,-2.0127754366397856,0.9652203389830508,0.9758895183041874,-146.3020819658763
21,-2.0117516350746154,0.9611525423728814,0.9745315527687429,-147.61415892153911
22,-1.985827624797821,0.9614915254237288,0.9745045648407914,-149.25682853785025
23,-1.9953722333908082,0.9810169491525423,0.9863271525074228,-142.45809674773986
24,-1.997015368938446,0.9707796610169492,0.9800795395064505,-144.45367814165195
25,-1.9816835844516754,0.983593220338983,0.98803552808199,-145.34325319598247
26,-1.9739087343215942,0.9827118644067797,0.9879433143273622,-142.76852049954329
27,-2.011778471469879,0.9623728813559324,0.9744687760842895,-148.95877020094446
28,-1.9802871596813203,0.9776271186440678,0.9837640221975729,-145.3029807328503
29,-1.9584349036216735,0.9782372881355932,0.984037638832704,-144.9949392523755
30,-2.0050981068611144,0.9727796610169491,0.9801660999712597,-147.7764203333507
31,-1.9945357894897462,0.971186440677966,0.9804788727194825,-145.49602397169235
32,-2.0048747158050535,0.9595932203389831,0.9742297405483905,-146.72264758299468
33,-2.0027674341201784,0.9648813559322034,0.9780111133686197,-144.95695121091765
34,-1.9917274129390716,0.9543728813559323,0.9727519162312213,-145.8150294964159
35,-2.0000840651988985,0.9751186440677967,0.9834701447565689,-142.21066670192428
36,-2.01061985373497,0.9837966101694915,0.9882368959560496,-146.87968222306563
37,-1.9805331134796142,0.9861694915254237,0.9897222437607052,-141.60023224322362
38,-1.9957651102542877,0.9769491525423729,0.983707449681398,-143.87808491408845
39,-1.9817243432998657,0.9795254237288136,0.9852627314993803,-146.09001431739196
40,-1.9995969331264496,0.968406779661017,0.9778222198026607,-145.7747155420586
41,-1.9872814726829529,0.9723389830508474,0.9803896743862366,-146.62098968562958
42,-2.013531183004379,0.9675932203389831,0.9776841507995908,-148.3878992957041
43,-2.0003112208843232,0.9616271186440678,0.9734516874133706,-147.36259581517675
44,-1.9911933434009552,0.9930169491525423,0.9944293946476356,-142.57417380823495
45,-2.0010995519161225,0.9858305084745762,0.9891195161892198,-145.04168578210624
46,-1.9837597060203551,0.9611525423728813,0.9750359216535085,-147.53378142335754
47,-2.0064581751823427,0.9391186440677965,0.9642290997999166,-148.41408918759126
48,-1.9876631784439087,0.9622372881355932,0.9762243975772146,-148.6530771956787
49,-2.0042587578296662,0.9579661016949153,0.9743761746760625,-144.30863805117156
50,-1.993185245990753,0.9393898305084745,0.9644349126105669,-149.87466210557443
51,-2.0025127482414247,0.9576271186440678,0.9731522427990413,-146.34042399618477
52,-1.9933808469772338,0.9776949152542372,0.9834826084874879,-142.5721594427216
53,-1.9982455015182494,0.9519322033898304,0.9703079851131937,-148.38831132317142
54,-2.0006298494338988,0.9842033898305085,0.9880771087224172,-143.71112946182848
55,-1.9826828718185425,0.9679322033898305,0.9792850138452663,-145.5176720246207
56,-1.9899431324005128,0.9738305084745762,0.9818260247371999,-143.18284720453408
57,-1.9852256059646607,0.9737627118644068,0.9813373889520225,-145.7416004560622
58,-1.9865256726741791,0.9831186440677966,0.9865064922379246,-143.5497036439753
59,-2.005422990322113,0.98,0.9847788852871051,-147.6893747871116
60,-2.0093366634845733,0.9659661016949151,0.9766033906372555,-146.04000217964176
61,-2.0059815192222596,0.9828474576271187,0.9864074853493369,-147.42599736002364
62,-1.9918712711334228,0.9646101694915254,0.9750485887031932,-146.15329752179474
63,-1.9938115406036376,0.9771525423728814,0.9839082340285463,-146.60397995863602
64,-2.0153774213790894,0.9572203389830508,0.9731490765294036,-149.05984084798527
65,-2.01066432595253,0.9723389830508474,0.982584454926898,-146.40654652268842
66,-1.9991026937961578,0.9572203389830508,0.9732006876068567,-145.88394558993616
67,-1.986122763156891,0.9520000000000001,0.9711153989251178,-145.72916700576326
68,-2.0068964731693266,0.9607457627118644,0.9739852949360013,-144.64609239863748
69,-2.0221609604358672,0.9507796610169491,0.968194841781592,-147.49416759288675
70,-2.0026637434959413,0.9618305084745763,0.9735943260605294,-144.08762586833672
71,-2.011870139837265,0.9595254237288137,0.9729644548980771,-146.66358478200948
72,-1.9808948588371278,0.9636610169491526,0.9754357000985038,-143.253877914717
73,-1.979156435728073,0.9631186440677966,0.9751131883492692,-146.5300526703271
74,-1.9937893986701964,0.9736949152542373,0.981464878960705,-144.50555323888977
75,-2.0053435254096983,0.9744406779661018,0.9824623657045162,-143.3862453163253
76,-2.006161482334137,0.9631864406779662,0.9760506517260457,-143.60742615241162
77,-1.974533919095993,0.9562711864406779,0.9724389020781579,-145.11505578848258
78,-2.00626669049263,0.9769491525423729,0.9832132617635891,-148.3299196563733
79,-1.97900909781456,0.9795932203389831,0.9850858804550054,-139.3679071890782
80,-1.9955115580558778,0.9584406779661017,0.9733444525326418,-146.54652309391335
81,-1.9950640630722045,0.9583728813559321,0.9735034196198216,-148.46702370745282
82,-2.003033149242401,0.9749830508474576,0.9825304912749644,-146.05219150646278
83,-1.9978172624111175,0.9810847457627119,0.9862383469032837,-144.7795761480615
84,-1.972571805715561,0.9906440677966102,0.9937368513212187,-143.65805161163058
85,-1.9986661612987517,0.9840677966101695,0.987404120283587,-144.21804343599274
86,-1.9854416477680206,0.9771525423728814,0.9831381288880853,-146.0573416631977
87,-2.002567712068558,0.9832542372881357,0.9882353926450612,-144.98392625902056
88,-2.0069421792030333,0.9730169491525422,0.9808626927715901,-149.6071027138551
89,-1.9810401225090026,0.956406779661017,0.9720642310899696,-146.05695142270676
90,-2.007991223335266,0.9552542372881355,0.9708624657513513,-148.98438431161946
91,-1.9869286727905273,0.9861016949152543,0.9893025324600957,-142.76836925812947
92,-2.011858894824982,0.979593220338983,0.9857076334301418,-145.86307017647093
93,-2.0042137038707732,0.9705762711864407,0.9796466631842848,-145.38083883669944
94,-2.005059871673584,0.9609491525423729,0.9737042049363699,-148.9807693742827
95,-1.989175032377243,0.9966779661016949,0.9969473849307107,-141.22929205897063
96,-2.001159501075745,0.9876610169491525,0.9909619957811721,-144.79206537254555
97,-2.018415622711182,0.9929491525423729,0.9940282145355525,-145.71722412000247
98,-2.0093688917160035,0.9848813559322034,0.9886211033753803,-143.09659604458562
99,-2.0201227581501007,0.9833898305084746,0.9875861769772937,-144.9701351398453
